111	0000
108	0001
10	001
101	010
102	011000
107	0110010
120	01100110
113	011001110
46	0110011110000
61	0110011110001
62	0110011110010
60	01100111100110
59	011001111001110
45	0110011110011110
38	01100111100111110
58	011001111001111110
57	0110011110011111110
44	01100111100111111110
56	011001111001111111110
55	0110011110011111111110
43	01100111100111111111110
37	011001111001111111111110
34	0110011110011111111111110
77	011001111001111111111111100
78	011001111001111111111111101
79	0110011110011111111111111100
80	01100111100111111111111111010
81	011001111001111111111111110110
82	0110011110011111111111111101110
83	01100111100111111111111111011110
84	011001111001111111111111110111110
85	0110011110011111111111111101111110
86	01100111100111111111111111011111110
87	011001111001111111111111110111111110
88	0110011110011111111111111101111111110
89	01100111100111111111111111011111111110
90	011001111001111111111111110111111111110
91	0110011110011111111111111101111111111110
92	01100111100111111111111111011111111111110
93	011001111001111111111111110111111111111110
94	0110011110011111111111111101111111111111110
67	011001111001111111111111110111111111111111100000000
68	011001111001111111111111110111111111111111100000001
50	011001111001111111111111110111111111111111100000010
69	011001111001111111111111110111111111111111100000011
41	0110011110011111111111111101111111111111111000001
71	011001111001111111111111110111111111111111100001
52	01100111100111111111111111011111111111111110001
74	0110011110011111111111111101111111111111111001
53	011001111001111111111111110111111111111111101
76	01100111100111111111111111011111111111111111
70	01100111100111111111111111100000000
49	011001111001111111111111111000000010
40	0110011110011111111111111110000000110
66	01100111100111111111111111100000001110
65	011001111001111111111111111000000011110
48	0110011110011111111111111110000000111110
64	01100111100111111111111111100000001111110
96	011001111001111111111111111000000011111110
95	0110011110011111111111111110000000111111110
63	01100111100111111111111111100000001111111110
47	011001111001111111111111111000000011111111110
39	0110011110011111111111111110000000111111111110
35	01100111100111111111111111100000001111111111110
123	011001111001111111111111111000000011111111111110
124	0110011110011111111111111110000000111111111111110
125	01100111100111111111111111100000001111111111111110
126	011001111001111111111111111000000011111111111111110
127	0110011110011111111111111110000000111111111111111110
32	01100111100111111111111111100000001111111111111111110
33	01100111100111111111111111100000001111111111111111111
36	0110011110011111111111111110000001
51	011001111001111111111111111000001
72	01100111100111111111111111100001
73	0110011110011111111111111110001
42	011001111001111111111111111001
75	01100111100111111111111111101
54	0110011110011111111111111111
122	01100111101
106	0110011111
103	01101
116	0111
117	10000
121	100010
104	100011
97	1001
110	1010
114	1011
99	11000
98	110010
119	1100110
118	1100111
105	1101
115	1110
100	11110
109	111110
112	111111
