101	000
105	0010
115	0011
110	0100
10	01010
118	0101100
82	010110100
76	010110101
80	01011011
109	010111
108	01100
83	01101000
72	0110100100
89	0110100101
68	01101001100
39	01101001101
113	01101001110
33	01101001111
85	011010100
87	011010101
67	01101011
102	011011
111	0111
117	10000
44	100010
98	1000110
84	10001110
58	100011110
69	100011111
116	1001
97	1010
100	10110
46	1011100
103	1011101
121	101111
73	11000000
65	11000001
112	1100001
119	110001
114	11001
99	110100
45	110101000
79	110101001
63	110101010
78	110101011
107	110101100
77	1101011010
91	11010110110000
88	110101101100010
90	110101101100011
62	11010110110010
61	110101101100110
60	1101011011001110
92	11010110110011110
93	110101101100111110
94	1101011011001111110
38	11010110110011111110
86	110101101100111111110
57	1101011011001111111110
81	11010110110011111111110
56	110101101100111111111110
34	11010110110011111111111100
35	11010110110011111111111101
127	11010110110011111111111110
55	110101101100111111111111110
43	1101011011001111111111111110
37	11010110110011111111111111110
53	110101101100111111111111111110000
36	11010110110011111111111111111000100
41	11010110110011111111111111111000101
51	11010110110011111111111111111000110
52	11010110110011111111111111111000111
122	11010110110011111111111111111001
123	1101011011001111111111111111101
75	110101101100111111111111111111000
42	1101011011001111111111111111110010
74	11010110110011111111111111111100110
70	110101101100111111111111111111001110
50	1101011011001111111111111111110011110
49	11010110110011111111111111111100111110
120	110101101100111111111111111111001111110
48	1101011011001111111111111111110011111110
96	11010110110011111111111111111100111111110
95	110101101100111111111111111111001111111110
124	1101011011001111111111111111110011111111110
64	11010110110011111111111111111100111111111110
126	110101101100111111111111111111001111111111110
40	1101011011001111111111111111110011111111111110
47	1101011011001111111111111111110011111111111111
54	11010110110011111111111111111101
125	1101011011001111111111111111111
106	110101101101
66	11010110111
59	110101110
71	110101111
104	11011
32	111
